subject,test_acc,acc_left_hand,acc_right_hand
1,0.8611111111111112,0.9305555555555556,0.7916666666666666
2,0.6111111111111112,0.6527777777777778,0.5694444444444444
3,0.9305555555555556,0.9305555555555556,0.9305555555555556
4,0.6805555555555556,0.5277777777777778,0.8333333333333334
5,0.5347222222222222,0.5972222222222222,0.4722222222222222
